"filename", "language", "Go", "comment", "blank", "total"
"/home/cpmores/Documents/development/repo/lucinda/api/v1/chats.go", "Go", 20, 4, 6, 30
"/home/cpmores/Documents/development/repo/lucinda/api/v1/router.go", "Go", 1, 1, 2, 4
"/home/cpmores/Documents/development/repo/lucinda/api/v1/types.go", "Go", -20, -4, -6, -30
"/home/cpmores/Documents/development/repo/lucinda/cmd/node/main.go", "Go", 12, 0, 4, 16
"/home/cpmores/Documents/development/repo/lucinda/internel/node/node.go", "Go", 2, 0, 2, 4
"/home/cpmores/Documents/development/repo/lucinda/internel/provider/ollama_driver.go", "Go", 37, 0, 8, 45
"/home/cpmores/Documents/development/repo/lucinda/internel/provider/provider.go", "Go", 29, 1, 7, 37
"/home/cpmores/Documents/development/repo/lucinda/internel/routeController/capabilityMetric/capability.go", "Go", 25, 2, 8, 35
"/home/cpmores/Documents/development/repo/lucinda/internel/routeController/policy/dividePolicy/singleDivide.go", "Go", 44, 0, 10, 54
"/home/cpmores/Documents/development/repo/lucinda/internel/routeController/policy/policy.go", "Go", 18, 0, 7, 25
"/home/cpmores/Documents/development/repo/lucinda/internel/routeController/policy/postPolicy/sequencePost.go", "Go", 11, 0, 6, 17
"/home/cpmores/Documents/development/repo/lucinda/internel/routeController/policy/routePolicy/localRoute.go", "Go", 47, 0, 11, 58
"/home/cpmores/Documents/development/repo/lucinda/internel/routeController/routeController.go", "Go", 1, 0, 1, 2
"/home/cpmores/Documents/development/repo/lucinda/internel/routeController/taskDivider/taskDivider.go", "Go", 58, 2, 17, 77
"/home/cpmores/Documents/development/repo/lucinda/internel/routeController/taskReducer/reducer.go", "Go", 9, 0, 4, 13
"/home/cpmores/Documents/development/repo/lucinda/internel/routeController/taskRouter/router.go", "Go", 83, 1, 23, 107
"Total", "-", 377, 7, 110, 494
