"filename", "language", "Go", "Go Module File", "YAML", "Go Checksum File", "Markdown", "comment", "blank", "total"
"/home/cpmores/Documents/development/repo/lucinda/README.md", "Markdown", 0, 0, 0, 0, 22, 0, 18, 40
"/home/cpmores/Documents/development/repo/lucinda/api/v1/node.go", "Go", 8, 0, 0, 0, 0, 2, 2, 12
"/home/cpmores/Documents/development/repo/lucinda/api/v1/router.go", "Go", 6, 0, 0, 0, 0, 0, 0, 6
"/home/cpmores/Documents/development/repo/lucinda/cmd/node/main.go", "Go", 18, 0, 0, 0, 0, 1, 5, 24
"/home/cpmores/Documents/development/repo/lucinda/configs/server/config.yaml", "YAML", 0, 0, 6, 0, 0, 0, 1, 7
"/home/cpmores/Documents/development/repo/lucinda/go.mod", "Go Module File", 0, 85, 0, 0, 0, 0, 0, 85
"/home/cpmores/Documents/development/repo/lucinda/go.sum", "Go Checksum File", 0, 0, 0, 214, 0, 0, 0, 214
"/home/cpmores/Documents/development/repo/lucinda/internel/routeController/policy/dividePolicy/singleDivide.go", "Go", 1, 0, 0, 0, 0, 0, 0, 1
"/home/cpmores/Documents/development/repo/lucinda/internel/routeController/policy/postPolicy/sequencePost.go", "Go", 1, 0, 0, 0, 0, 1, 0, 2
"/home/cpmores/Documents/development/repo/lucinda/internel/routeController/taskDivider/taskDivider.go", "Go", 2, 0, 0, 0, 0, 0, 0, 2
"/home/cpmores/Documents/development/repo/lucinda/internel/routeController/taskRouter/router.go", "Go", 3, 0, 0, 0, 0, 0, 0, 3
"/home/cpmores/Documents/development/repo/lucinda/internel/transport/libp2p/host.go", "Go", 236, 0, 0, 0, 0, 19, 52, 307
"/home/cpmores/Documents/development/repo/lucinda/internel/transport/libp2p/mDNS.go", "Go", 34, 0, 0, 0, 0, 1, 7, 42
"/home/cpmores/Documents/development/repo/lucinda/internel/transport/transporter.go", "Go", 30, 0, 0, 0, 0, 1, 10, 41
"Total", "-", 339, 85, 6, 214, 22, 25, 95, 786
