"filename", "language", "Go", "Go Module File", "YAML", "Go Checksum File", "Markdown", "comment", "blank", "total"
"/home/cpmores/Documents/development/repo/lucinda/README.md", "Markdown", 0, 0, 0, 0, 22, 0, 18, 40
"/home/cpmores/Documents/development/repo/lucinda/api/v1/chats.go", "Go", 20, 0, 0, 0, 0, 4, 6, 30
"/home/cpmores/Documents/development/repo/lucinda/api/v1/node.go", "Go", 8, 0, 0, 0, 0, 2, 2, 12
"/home/cpmores/Documents/development/repo/lucinda/api/v1/ollama.go", "Go", 41, 0, 0, 0, 0, 2, 7, 50
"/home/cpmores/Documents/development/repo/lucinda/api/v1/router.go", "Go", 7, 0, 0, 0, 0, 1, 2, 10
"/home/cpmores/Documents/development/repo/lucinda/cmd/node/main.go", "Go", 59, 0, 0, 0, 0, 1, 18, 78
"/home/cpmores/Documents/development/repo/lucinda/configs/server/config.yaml", "YAML", 0, 0, 16, 0, 0, 1, 2, 19
"/home/cpmores/Documents/development/repo/lucinda/go.mod", "Go Module File", 0, 105, 0, 0, 0, 0, 4, 109
"/home/cpmores/Documents/development/repo/lucinda/go.sum", "Go Checksum File", 0, 0, 0, 263, 0, 0, 1, 264
"/home/cpmores/Documents/development/repo/lucinda/internel/node/node.go", "Go", 2, 0, 0, 0, 0, 0, 2, 4
"/home/cpmores/Documents/development/repo/lucinda/internel/provider/ollama_driver.go", "Go", 100, 0, 0, 0, 0, 5, 20, 125
"/home/cpmores/Documents/development/repo/lucinda/internel/provider/provider.go", "Go", 44, 0, 0, 0, 0, 1, 13, 58
"/home/cpmores/Documents/development/repo/lucinda/internel/routeController/capabilityMetric/capability.go", "Go", 25, 0, 0, 0, 0, 2, 8, 35
"/home/cpmores/Documents/development/repo/lucinda/internel/routeController/policy/dividePolicy/singleDivide.go", "Go", 45, 0, 0, 0, 0, 0, 10, 55
"/home/cpmores/Documents/development/repo/lucinda/internel/routeController/policy/policy.go", "Go", 18, 0, 0, 0, 0, 0, 7, 25
"/home/cpmores/Documents/development/repo/lucinda/internel/routeController/policy/postPolicy/sequencePost.go", "Go", 12, 0, 0, 0, 0, 1, 6, 19
"/home/cpmores/Documents/development/repo/lucinda/internel/routeController/policy/routePolicy/localRoute.go", "Go", 47, 0, 0, 0, 0, 0, 11, 58
"/home/cpmores/Documents/development/repo/lucinda/internel/routeController/routeController.go", "Go", 1, 0, 0, 0, 0, 0, 1, 2
"/home/cpmores/Documents/development/repo/lucinda/internel/routeController/taskDivider/taskDivider.go", "Go", 60, 0, 0, 0, 0, 2, 17, 79
"/home/cpmores/Documents/development/repo/lucinda/internel/routeController/taskReducer/reducer.go", "Go", 9, 0, 0, 0, 0, 0, 4, 13
"/home/cpmores/Documents/development/repo/lucinda/internel/routeController/taskRouter/router.go", "Go", 86, 0, 0, 0, 0, 1, 23, 110
"/home/cpmores/Documents/development/repo/lucinda/internel/server/httpServer.go", "Go", 92, 0, 0, 0, 0, 3, 21, 116
"/home/cpmores/Documents/development/repo/lucinda/internel/server/server.go", "Go", 39, 0, 0, 0, 0, 5, 12, 56
"/home/cpmores/Documents/development/repo/lucinda/internel/transport/libp2p/host.go", "Go", 236, 0, 0, 0, 0, 19, 52, 307
"/home/cpmores/Documents/development/repo/lucinda/internel/transport/libp2p/mDNS.go", "Go", 34, 0, 0, 0, 0, 1, 7, 42
"/home/cpmores/Documents/development/repo/lucinda/internel/transport/transporter.go", "Go", 30, 0, 0, 0, 0, 1, 10, 41
"Total", "-", 1015, 105, 16, 263, 22, 52, 284, 1757
